2022-08-27 01:24:51
20220827 020417.014 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20220827 020417.014 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20220827 020417.014 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20220827 020417.014 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20220827 020417.015 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20220827 020417.015 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20220827 020417.015 INFO             PET0 Running with ESMF Version   : v8.3.1b05
20220827 020417.015 INFO             PET0 ESMF library build date/time: "Aug 27 2022" "01:22:15"
20220827 020417.015 INFO             PET0 ESMF library build location : /discover/nobackup/projects/sbu/mpotts/esmf-test/intel_19.1.3_intelmpi_g_patch_8.3.1/esmf
20220827 020417.015 INFO             PET0 ESMF_COMM                   : intelmpi
20220827 020417.015 INFO             PET0 ESMF_MOAB                   : enabled
20220827 020417.015 INFO             PET0 ESMF_LAPACK                 : enabled
20220827 020417.015 INFO             PET0 ESMF_NETCDF                 : enabled
20220827 020417.015 INFO             PET0 ESMF_PNETCDF                : disabled
20220827 020417.015 INFO             PET0 ESMF_PIO                    : enabled
20220827 020417.015 INFO             PET0 ESMF_YAMLCPP                : enabled
20220827 020417.016 INFO             PET0 esmApp STARTING
20220827 020417.046 INFO             PET0 esm: InitializeP1 intro.
20220827 020417.046 INFO             PET0   esm: InitializeIPDv02p1 intro.
20220827 020417.047 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20220827 020417.135 INFO             PET0     esm - Creating state: modelComp 1 Import State
20220827 020417.135 INFO             PET0     esm - Creating state: modelComp 1 Export State
20220827 020417.136 INFO             PET0     esm - Creating state: modelComp 2 Import State
20220827 020417.136 INFO             PET0     esm - Creating state: modelComp 2 Export State
20220827 020417.136 INFO             PET0     esm - Creating state: modelComp 3 Import State
20220827 020417.136 INFO             PET0     esm - Creating state: modelComp 3 Export State
20220827 020417.138 INFO             PET0     ATM: InitializeP0 intro.
20220827 020417.140 INFO             PET0     ATM: InitializeP0 extro.
20220827 020417.148 INFO             PET0     LND: InitializeP0 intro.
20220827 020417.150 INFO             PET0     LND: InitializeP0 extro.
20220827 020417.151 INFO             PET0     ATM-TO-OCN: InitializeP0 intro.
20220827 020417.151 INFO             PET0     ATM-TO-OCN: InitializeP0 extro.
20220827 020417.152 INFO             PET0     ATM-TO-LND: InitializeP0 intro.
20220827 020417.153 INFO             PET0     ATM-TO-LND: InitializeP0 extro.
20220827 020417.153 INFO             PET0     OCN-TO-ATM: InitializeP0 intro.
20220827 020417.154 INFO             PET0     OCN-TO-ATM: InitializeP0 extro.
20220827 020417.155 INFO             PET0     LND-TO-ATM: InitializeP0 intro.
20220827 020417.155 INFO             PET0     LND-TO-ATM: InitializeP0 extro.
20220827 020417.175 INFO             PET0     esm: IInitAdvertise intro.
20220827 020417.175 INFO             PET0     esm: IInitAdvertise extro.
20220827 020417.175 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20220827 020417.179 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20220827 020417.184 INFO             PET0     LND: InitializeIPDvXp01 intro.
20220827 020417.184 INFO             PET0     LND: InitializeIPDvXp01 extro.
20220827 020417.185 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20220827 020417.198 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 extro.
20220827 020417.198 INFO             PET0     ATM-TO-LND: InitializeIPDv05p1 intro.
20220827 020417.203 INFO             PET0     ATM-TO-LND: InitializeIPDv05p1 extro.
20220827 020417.203 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 intro.
20220827 020417.209 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 extro.
20220827 020417.209 INFO             PET0     LND-TO-ATM: InitializeIPDv05p1 intro.
20220827 020417.213 INFO             PET0     LND-TO-ATM: InitializeIPDv05p1 extro.
20220827 020417.214 INFO             PET0     esm: IInitAdvertiseFinish intro.
20220827 020417.214 INFO             PET0     esm: IInitAdvertiseFinish extro.
20220827 020417.214 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a intro.
20220827 020417.220 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a extro.
20220827 020417.220 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2a intro.
20220827 020417.225 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2a extro.
20220827 020417.225 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a intro.
20220827 020417.229 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a extro.
20220827 020417.229 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2a intro.
20220827 020417.233 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2a extro.
20220827 020417.233 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b intro.
20220827 020417.238 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b extro.
